id,mention,cui,start_index,end_index,sentence
1086,artemisinine,C0052430,59,71,Een nieuwer middel is een combinatie-therapie gebaseerd op artemisinine.
1088,plasmodium falciparum,C0032150,31,52,"De toenemende weerstand van de plasmodium falciparum-parasiet tegen artemisinine, die al in 2009 in het grensgebied van Cambodja en Thailand werd vastgesteld, is nu ook bevestigd bij onderzoek in Myanmar en Vietnam."
1092,oedeem,C0013604,53,59,"De chronische gevolgen van malaria als bloedarmoede, oedeem en algehele uitputting (de zogenaamde moeras-cachexie) waren echter minder goed herkenbaar en werden dikwijls gerangschikt onder de term 'landscheurbuik'."
1093,cachexie,C0006625,105,113,"De chronische gevolgen van malaria als bloedarmoede, oedeem en algehele uitputting (de zogenaamde moeras-cachexie) waren echter minder goed herkenbaar en werden dikwijls gerangschikt onder de term 'landscheurbuik'."
1094,landscheurbuik,C0036474,198,212,"De chronische gevolgen van malaria als bloedarmoede, oedeem en algehele uitputting (de zogenaamde moeras-cachexie) waren echter minder goed herkenbaar en werden dikwijls gerangschikt onder de term 'landscheurbuik'."
1096,placebo,C0032042,78,85,"Wel was dit een relatief klein onderzoek, met 23 deelnemers, waarvan er 3 een placebo kregen."
1100,desfluraan,C0063252,78,88,Het gebruik neemt in Nederland af door de opvolging van nieuwere dampen zoals desfluraan en sevofluraan en door de introductie van intraveneuze anesthetica met name propofol (diprivan).
1101,sevofluraan,C0074414,92,103,Het gebruik neemt in Nederland af door de opvolging van nieuwere dampen zoals desfluraan en sevofluraan en door de introductie van intraveneuze anesthetica met name propofol (diprivan).
1102,propofol,C0033487,165,173,Het gebruik neemt in Nederland af door de opvolging van nieuwere dampen zoals desfluraan en sevofluraan en door de introductie van intraveneuze anesthetica met name propofol (diprivan).
1104,beenmergdepressie,C0178416,29,46,Langdurige blootstelling kan beenmergdepressie veroorzaken (soms geeft men hiertegen extra foliumzuur).
1105,foliumzuur,C0016410,91,101,Langdurige blootstelling kan beenmergdepressie veroorzaken (soms geeft men hiertegen extra foliumzuur).
1106,neuronenverbindingen,C0027882,42,62,Lachgas heeft een negatieve werking op de neuronenverbindingen in de hersenen.
1107,parkinson,C0030567,89,98,"Bij langdurig en regelmatig gebruik kunnen onder meer neurologische effecten, lijkend op parkinson-symptomen, optreden, waarschijnlijk door de neurologische effecten van de door lachgas geïnduceerde vitamine B12-deficiëntie."
1109,rolstoel,C0043143,132,140,"Chronisch overmatig recreatief gebruik kan leiden tot (gedeeltelijke) dwarslaesies, waardoor de gebruiker in zijn verdere leven een rolstoel moet gebruiken."
1111,Yersinia pestis,C0043408,45,60,De ziekte wordt veroorzaakt door de bacterie Yersinia pestis of pestbacil.
1113,longpest,C0524688,72,80,De meest voorkomende verschijningsvormen van de pest zijn builenpest en longpest.
1115,vlooien,C0016228,43,50,Bij de pest gaat het om de overdracht door vlooien die met de bacterie besmet zijn.
1117,spierpijn,C0575064,33,42,"Daarna krijgt de patiënt koorts, spierpijn, hoofdpijn en een gevoel van vermoeidheid."
1122,cyanose,C0010520,117,124,"Doordat het zuurstofgehalte van het bloed afneemt, is er vaak sprake van blauwe verkleuring van de lippen en nagels (cyanose)."
1123,purpura,C0241144,74,81,"In het laatste stadium treden orgaanbloedingen en intracutane bloedingen (purpura, paarse plekken) op, wat de huid van het slachtoffer zwart doet lijken."
1124,antibiotica,C0003232,85,96,"Deze vorm van de ziekte is bijna altijd dodelijk, tenzij vroegtijdig (binnen 24 uur) antibiotica worden toegediend."
1127,difterie,C1301422,148,156,"Voorbeeld van hoe moeilijk het is om retrospectief diagnoses vast te stellen van een ziekte, is een recent onderzoek van patiënten die als diagnose difterie kregen en in ¼ tot ⅓ van de gevallen was de diagnose foutief op basis van middeleeuwse ziektebeschrijvingen."
1129,malaria,C0024530,20,27,"Sommigen denken aan malaria, maar dat klopt dan weer niet met de beschrijving van Bartholin die zei dat de ziekte zich verder ontwikkelde tot buikloop en dysenterie, wat bij malaria niet het geval is."
1130,dysenterie,C0013369,154,164,"Sommigen denken aan malaria, maar dat klopt dan weer niet met de beschrijving van Bartholin die zei dat de ziekte zich verder ontwikkelde tot buikloop en dysenterie, wat bij malaria niet het geval is."
1131,zweetziekte,C0242843,11,22,De Engelse zweetziekte is daar een voorbeeld van.
1138,longblaasje,C0034051,38,49,"De bacterie tast de binnenkant van de longblaasjes aan, waardoor het lichaam geen zuurstof meer kan opnemen."
1141,biofilm,C0081786,133,140,Optimale groeiomstandigheden zijn stilstaand water met een temperatuur tussen 25 en 50 °C (optimaal is 37 °C) en de aanwezigheid van biofilm of ander organisch materiaal.
1142,Legionellose,C0023241,0,12,"Legionellose kan dus voornamelijk gezien worden als een ""beschavingsziekte""."
1143,legionellose,C0023241,20,32,Deze milde vorm van legionellose wordt om die reden nog altijd wel Pontiac-koorts genoemd.
1144,aircosysteem,C0242178,98,110,Er werd uitgebreid epidemiologisch onderzoek verricht en de meest waarschijnlijke oorzaak was een aircosysteem in het stadsziekenhuis.
1146,desinfectie,C0003974,31,42,"Bij 60 °C was er ook volledige desinfectie bij RVS, pvc-c en PEX."
1149,baby,C0021270,19,23,Dit geldt ook voor baby's.
1150,chlooracne,C1858506,48,58,"De mensen die de rijstolie gebruikten leden aan chlooracne, oedeem, donkere huidpigmentering en fatale leverschade."
1153,talgklier,C0036505,46,55,"Deze vetlaag wordt wel weer aangevuld door de talgklieren, maar in de tussentijd is de huid minder beschermd tegen invloeden van buitenaf."
1154,natriumdodecylsulfaat,C0037506,17,38,"Het voordeel van natriumdodecylsulfaat is dat het geen neerslag vormt in combinatie met calciumionen, waardoor schoonmaakmiddelen op basis van natriumdodecylsulfaat ook bij hard water hun reinigende werking behouden."
1155,calciumhydroxide,C0006701,98,114,Dit proces werkt overigens beter als het kalium- (of natrium-) carbonaat eerst met gebluste kalk (calciumhydroxide) tot KOH (of NaOH) wordt omgezet.
1156,glycerine,C0017861,88,97,"De zeepvlokken drijven boven op de onderlaag, waar het grootste deel van de vrijgekomen glycerine in zit."
1159,terminale patiënt,C0679247,71,88,Bij passieve euthanasie wordt afgezien van verdere behandeling bij een terminale patiënt.
1160,identieke tweeling,C0041432,96,114,Daarbij wordt een embryo fysiek in twee gesplitst en is het resultaat net hetzelfde als bij een identieke tweeling.
1161,genetische technologie,C0017387,156,178,Tot op heden is de belangrijkste praktische toepassing van het klonen van dieren de vermenigvuldiging van dieren die hierbij tegelijkertijd door middel van genetische technologie genetisch worden gemodificeerd.
1163,grote hersenen,C0242202,26,40,De buitenste lagen van de grote hersenen noemt men de hersenschors.
1165,neocortex,C0175173,18,27,Dit deel wordt de neocortex genoemd en ligt boven op de oudere allocortex.
1166,perifere zenuwstelsel,C0206417,97,118,De meeste soorten gliacellen die zich in het centrale zenuwstelsel bevinden bevinden zich in het perifere zenuwstelsel.
1167,oligodendrocyt,C0028944,25,39,Een uitzondering zijn de oligodendrocyten die in het centrale zenuwstelsel axonen isoleren.
1168,hersenvliezen,C0025285,70,83,"De hersenen worden bij zoogdieren door bindweefselvliezen omgeven, de hersenvliezen."
1169,hersenvocht,C0007806,66,77,"Onder het spinnenwebvlies bevindt zich een ruimte waarin zich het hersenvocht, ook liquor cerebrospinalis of verkort liquor, bevindt."
1172,reflexen,C0034929,110,118,Deze signalen worden door het centrale zenuwstelsel geïnterpreteerd waarna op basis van aangeleerde kennis en reflexen nieuwe signalen worden afgegeven.
1173,Smaak,C0039336,0,5,Smaak wordt via de hersenstam naar verschillende delen van de hersenen geleid.
1176,celademhaling,C0282636,86,99,Autotrofe organismen gebruiken de aangemaakte glucose onder andere om zichzelf via de celademhaling van energie te voorzien.
1177,respiratie,C0282636,155,165,"Pas veel later kwamen er organismen die zelf geen fotosynthese meer hadden, en als energiebron aangewezen waren op het afbreken van andere organismen door respiratie (en dus met behulp van zuurstof)."
1178,Blauwalgen,C1047211,0,10,Blauwalgen (cyanobacteriën) hebben oxygene fotosynthese en produceren zuurstof op dezelfde manier als chloroplasten.
1179,blad,C0242724,44,48,De chloroplasten bevinden zich vooral in de bladeren van de planten: chloroplasten geven bladeren hun groene kleur.
1180,dissimilatie,C0282636,42,54,Wanneer glucose 'verbrand' wordt heet dat dissimilatie.
1181,mais,C0010028,78,82,Relatief veel van deze planten zijn voor de mens belangrijke voedselgewassen (mais).
1182,fotolyse,C0031751,18,26,"Hierbij wordt via fotolyse water gesplitst in H-ionen, elektronen en zuurstof."
1184,elektronentransportketen (ETC),C0030013,28,58,Deze keten wordt ook wel de elektronentransportketen (ETC) genoemd.
1186,Glad spierweefsel,C1267092,0,17,Glad spierweefsel ontspant zich bij inademing en strekt zich bij uitademing.
1187,(long)atelectase,C0004144,22,38,Deze aandoening wordt (long)atelectase genoemd.
1188,benzodiazepinen,C0005064,58,73,De meest gebruikte slaapmiddelen behoren tot de groep van benzodiazepinen.
1189,Benzodiazepinen,C0005064,39,54,"Voor een afbouwschema zie het artikel ""Benzodiazepinen""."
1190,clobazam,C0055891,27,35,"Een uitzondering hierop is clobazam met een 1,5 diazepine-ring."
1191,clonazepam,C0009011,25,35,Een voorbeeld hiervan is clonazepam.
1192,overdosis,C0029944,4,13,"Een overdosis leidt zelden tot overlijden, vanwege de geringe giftigheid van deze middelen."
1193,alprazolam,C0002333,85,95,"Ook de kortwerkende anxiolytische benzodiazepines zijn hierin gevaarlijker, met name alprazolam."
1194,corrosie,C0010106,56,64,"Messen die niet regelmatig worden gebruikt, kunnen door corrosie worden aangetast, als ze onbeschermd in een vochtige omgeving worden bewaard."
1198,bevallingsfistel,C0042582,69,85,Naderhand maakte ze zich sterk voor onder meer de bestrijding van de bevallingsfistel en voor betere seksuele voorlichting in ontwikkelingslanden.
1200,embryoloog,C0013942,21,31,De Duitse anatoom en embryoloog Hermann Triepel stelde ook voor om intestinum terminale te gebruiken.
1201,orthosympathische zenuwstelsel,C0039044,4,34,Het orthosympathische zenuwstelsel stimuleert een ejaculatie.
1206,arteriole,C0003847,35,44,Door deze verslapping verwijden de arteriolen (de kleinste vertakkingen van slagaders) zich en wordt de penis gevuld met bloed (zwellingsfase).
1207,systolische,C0039155,59,70,Wanneer de druk in de corpora cavernosa hoger wordt dan de systolische bloeddruk (verstijvingsfase) kan ook de ejaculatie plaatsvinden.
1209,orthosympathische deel,C0039044,19,41,Stimulatie van het orthosympathische deel van het autonome zenuwstelsel veroorzaakt omzetting (hydrolyse) van cGMP naar inactief GMP.
1213,Priapisme,C0033117,0,9,"Priapisme is de wetenschappelijke term voor een permanente (veelal pijnlijke) erectie, niet te verwarren met de spontane erectie."
1214,hymen imperforatus,C0152436,70,88,Bij hoge uitzondering komt het voor dat een hymen geheel gesloten is (hymen imperforatus).
1215,ejaculaat,C0242499,67,76,"De prostaatvloeistof wordt uitgedreven met de eerste delen van het ejaculaat, samen met de zaadcellen, deze zijn dan beweeglijker, hebben een langere levensduur en een betere bescherming van het genetisch materiaal (DNA)."
1216,benigne prostaathyperplasie,C1704272,20,47,Men spreekt dan van benigne prostaathyperplasie (BPH).
1220,klinische depressie,C0154409,93,112,"Voorstanders van de officiële doodsoorzaak wijzen naar Cobains langdurige heroïneverslaving, klinische depressies en handgeschreven zelfmoordbrief als onweerlegbaar bewijs."
1225,slapeloosheid,C0917801,65,78,Sint-janskruid wordt ook wel gebruikt als middel tegen stress en slapeloosheid.
1226,bijsluiter,C0013191,80,90,Om deze reden is het sinds november 2001 verplicht om op de verpakking of in de bijsluiter van producten die sint-janskruid bevatten een tekst te vermelden waarin gewaarschuwd wordt voor de effecten op medicatie.
1227,soa's,C0036916,65,70,Hij schreef als een van de eersten over besmettelijke ziekten en soa's en beschreef quarantaine om verspreiding van ziekten te voorkomen.
1229,schurft,C0036262,59,66,Tijdens een kort verblijf terug in de Nederlanden liep hij schurft op.
1230,pestepidemie,C0524687,57,69,Bij zijn definitieve terugkeer in 1605 probeerde hij een pestepidemie in Antwerpen te bestrijden.
1231,pleuritis,C0032231,62,71,"Hij overleed eind 1644 aan een longaandoening, waarschijnlijk pleuritis."
1232,dehydro-epiandrosteron,C0011185,99,121,"Dit gebeurt onder invloed van adrenerge en ovariële androgenen, voornamelijk het adrenerge hormoon dehydro-epiandrosteron (DHEA)."
1234,eileider,C0015560,85,93,Bij de mens wordt een zygote gevormd als een zaadcel en eicel elkaar ontmoeten in de eileider.
1235,biologische,C0005532,3,14,"De biologische term voor eicel is ovum (meervoud ova, van het Latijnse woord ovum dat ei of eicel betekent)."
1236,oögenese,C0029047,45,53,Het proces van de rijping van de eicellen is oögenese.
1238,morula,C0026573,3,9,De morula is een embryo in de vroegste embryonale ontwikkeling.
1240,stuifmeel,C0032385,26,35,Hier vindt de vorming van stuifmeel- of pollenkorrels plaats.
1241,mitotische delingen,C0026255,70,89,In een volgende stap ontwikkelen de microsporen zich door twee gewone mitotische delingen van de celkern binnen de sporenwand.
1242,stuifmeel- of pollenkorrels,C0032385,39,66,De zich ontwikkelende sporen heten dan stuifmeel- of pollenkorrels.
1243,geslachtscellen (gameten),C2718310,108,133,"De generatieve kern heeft een hogere concentratie celplasma om zich heen en vormt na een tweede mitose twee geslachtscellen (gameten), de microgameten of spermacellen, die ieder een eigen kern bevatten."
1244,microgameten of spermacellen,C0037868,138,166,"De generatieve kern heeft een hogere concentratie celplasma om zich heen en vormt na een tweede mitose twee geslachtscellen (gameten), de microgameten of spermacellen, die ieder een eigen kern bevatten."
1245,mitotische,C0026255,76,86,De microsporen groeien uit tot stuifmeelkorrels doordat de microsporen zich mitotische delen.
1246,lelies,C0524886,21,27,Bij sommige planten (lelies) is er geen geleidingsweefsel maar een open stijlkanaal.
1247,ovulatie,C0029965,44,52,Twee weken in de cyclus vindt een eisprong (ovulatie) plaats.
1248,bevruchte eicel,C0043544,4,19,Een bevruchte eicel kan zich dan in het baarmoederslijmvlies innestelen.
1249,overvloedig of langdurig,C0025323,5,29,Door overvloedig of langdurig menstrueren kan bloedarmoede ontstaan.
1252,schaamhaar,C0221988,41,51,"In deze periode krijgen zij ook borsten, schaamhaar en okselhaar."
1253,okselhaar,C0221984,55,64,"In deze periode krijgen zij ook borsten, schaamhaar en okselhaar."
1256,botdichtheid,C0005938,57,69,Een topsporter die niet menstrueert zou volgens het team botdichtheid kunnen verliezen.
1257,premenstrueel syndroom,C0376356,64,86,In de dagen voor de menstruatie komt bij veel vrouwen zogeheten premenstrueel syndroom voor.
1261,progesteron,C0033308,101,112,Ook tijdens de menstruatie kan er sprake zijn van een verhoogd libido door een verhoogde hoeveelheid progesteron.
1263,eitrechter,C0227911,62,72,"Dit wordt zo genoemd omdat de ovaria niet rechtstreeks aan de eitrechter en dus de eileider (of het oviduct) vastzitten, maar met een vlies onder de trechter 'hangen'."
1267,maagdelijke voortplanting,C0030596,4,29,"Bij maagdelijke voortplanting vindt er wel een paring plaats, maar door het vrouwtje worden alleen eigen lichaamscellen gebruikt."
1268,bananenvlieg,C0013139,4,16,Een bananenvliegje (geslachtsrijp na 10-14 dagen) kan 900 nakomelingen krijgen.
1269,wangen,C0007966,39,45,Dit behelst vaak het kussen op elkaars wangen.
1270,psychische aandoening,C0004936,20,41,Pedofilie wordt als psychische aandoening gezien.
1272,buitenste schaamlippen,C0227760,68,90,"Het zichtbare deel van de clitoris ligt aan de bovenzijde tussen de buitenste schaamlippen, op het punt waar de binnenste schaamlippen samenkomen."
1273,binnenste schaamlippen,C0227766,112,134,"Het zichtbare deel van de clitoris ligt aan de bovenzijde tussen de buitenste schaamlippen, op het punt waar de binnenste schaamlippen samenkomen."
1275,clitorishoed,C0227771,30,42,"Het wordt afgeschermd door de clitorishoed, en komt hieruit tevoorschijn bij de erectie van de clitoris."
1278,laparoscopie,C0031150,55,67,Dit kan middels een buikoperatie of met behulp van een laparoscopie.
1279,zweet,C0038984,30,35,"Ze bevatten onder andere vet, zweet- en talgklieren."
1283,baarmoederhals,C0007874,104,118,"Een teken van het begin van de bevalling is het verliezen van bloederig slijm, de slijmprop die voor de baarmoederhals zat om de vrucht te beschermen tegen infecties."
1284,hormonen,C0014242,14,22,Dat komt door hormonen die in de hersenen vrijkomen.
1286,oxytocine,C0030095,46,55,Bij het ontstaan van weeën speelt het hormoon oxytocine een belangrijke rol.
1287,borstvoeding,C0006147,18,30,"Bij het geven van borstvoeding treden deze baarmoedercontracties in sterkere mate op, hetgeen het herstel bespoedigt zodat de wond die ontstaan is door het loslaten van de placenta sneller geneest en kleiner wordt."
1289,post-partumdepressie,C0221074,68,88,"Sommige vrouwen die recent zijn bevallen, worden getroffen door een post-partumdepressie."
1290,episiotomie,C0014586,43,54,"In sommige gevallen is alleen ""inknippen"" (episiotomie) van de bilnaad (perineum) voldoende om de baby alsnog op de normale manier geboren te laten worden."
1291,bilnaad,C0031066,63,70,"In sommige gevallen is alleen ""inknippen"" (episiotomie) van de bilnaad (perineum) voldoende om de baby alsnog op de normale manier geboren te laten worden."
1295,vroeggeboorte,C0151526,66,79,"Vooral als er tijdens de bevalling risicofactoren optreden, zoals vroeggeboorte, langdurig gebroken vliezen of koorts, is er een verhoogd risico van besmetting van de pasgeborene."
1302,menselijke,C0086418,25,35,Dit artikel behandelt de menselijke vrouwelijke borst.
1305,arteria axillaris,C0004455,50,67,Deze slagaderen zijn allebei een aftakking van de arteria axillaris (okselslagader) en zijn ook onderling verbonden.
1306,anisomastie,C1854013,66,77,"Als de grootte van de twee borsten sterk afwijkt, spreekt men van anisomastie."
1308,prolactine,C0033371,53,63,De melkproductie staat onder invloed van het hormoon prolactine.
1311,billen,C0282082,62,68,Toen tijdens de evolutie de mens rechtop ging lopen werden de billen van een vrouw minder opvallend voor de man.
1314,spironolacton,C0037982,82,95,Er zijn veel medicijnen die hiermee in verband worden gebracht; de bekendste zijn spironolacton en ranitidine.
1315,ranitidine,C0034665,99,109,Er zijn veel medicijnen die hiermee in verband worden gebracht; de bekendste zijn spironolacton en ranitidine.
1317,chloor,C0008209,128,134,Anderzijds gelden minimumwaarden voor bijvoorbeeld het doorzicht van het water en de toegediende hoeveelheid desinfectiemiddel (chloor).
1318,blauwalg,C1047211,19,27,"In natuurwater kan blauwalg (ook cyanobacteriën genoemd) voorkomen, een giftige bacterie."
1319,infectieziekte,C0009450,150,164,Verlaging van het chloorgehalte in zwembaden tot beneden de aangegeven normen is ongewenst en ongeoorloofd in verband met de kans op verspreiding van infectieziekten.
1320,legionella,C0023241,71,81,De twee laatste behandelingsmethodes werken bovendien preventief tegen legionella.
1323,baarmoederhalskanker,C0007847,46,66,"Bij mensen komt kanker van de baarmoederhals, baarmoederhalskanker, vrij frequent voor."
1325,endemische vorm van syfilis,C0004945,35,62,"Zo kent men bij sommige volken een endemische vorm van syfilis, waarbij het karakter van geslachtsziekte grotendeels verloren is gegaan."
1326,beroepsziekte,C0028797,46,59,Bij artsen en verpleegkundigen is syfilis als beroepsziekte bekend.
1331,Syfilis,C0039128,0,7,"Syfilis kan met penicilline behandeld worden, maar dit behoort zo snel mogelijk plaats te vinden om het tweede en derde stadium van de ziekte te voorkomen."
1333,Chlamydiasis,C0008149,0,12,Chlamydiasis kan op een eenvoudige manier worden behandeld en genezen met antibiotica.
1335,neurowetenschap,C0027910,29,44,Vanaf de jaren 1990 heeft de neurowetenschap aangetoond dat het vermogen tot emoties nauw verbonden is met de wisselwerking tussen verschillende componenten van het limbisch systeem in de hersenen.
1336,limbisch systeem,C0023715,165,181,Vanaf de jaren 1990 heeft de neurowetenschap aangetoond dat het vermogen tot emoties nauw verbonden is met de wisselwerking tussen verschillende componenten van het limbisch systeem in de hersenen.
1337,Haat,C0018616,0,4,Haat wordt ook als een vorm van omgekeerde liefde gezien: een negatieve aantrekking op grond van psychologische projectie van de schaduwzijde van iemand op een ander.
1341,amitriptyline,C0002600,36,49,"Als eerste keus probeert men steeds amitriptyline, dat goede karakteristieken bezit bij fibromyalgie, maar soms pas na twee tot vier weken werkt."
1342,placeborespons,C0032042,139,153,"In een commentaar op die studie suggereert dr. Bennett dat het gunstige effect bij sommige patiënten waarschijnlijk te danken was aan een ""placeborespons"" uitgelokt door het enthousiasme en de overredingskracht van dr. St. Amand."
1343,RSI,C0035127,47,50,Deze aandoening kan gecategoriseerd worden als RSI.
1344,eierstok,C0029939,46,54,"Meerdere follikels, een cohort, gelegen in de eierstok (ovarium) bevatten elk een eicel (oöcyt)."
1345,oöcyt,C0029045,89,94,"Meerdere follikels, een cohort, gelegen in de eierstok (ovarium) bevatten elk een eicel (oöcyt)."
1349,tweeling,C0041427,83,91,"In dit geval kunnen er dus twee bevruchtingen plaatsvinden, wat tot een twee-eiige tweeling kan leiden."
1350,atresie,C0243066,74,81,"De meeste follikels die in een cohort groeien, zullen te gronde gaan door atresie."
1353,samentrekken,C0026820,60,72,De myoepitheelcellen stuwen de melk de borst uit doordat ze samentrekken.
1358,kloven,C2909538,4,10,"Als kloven van de tepel of andere verwondingen afkolven onmogelijk maken, de vrouw ziek of zwanger is, kan het ook nodig zijn om borstvoeding te stoppen."
1361,spugen,C0042963,105,111,"Doordat borstvoeding lichter verteerbaar is dan kunstvoeding, hebben geborstvoede baby's minder last van spugen en darmontstekingen."
1364,urineweginfectie,C0149523,192,208,"Kinderen die borstvoeding hebben gekregen hebben ook een lagere incidentie (zich voordoen) van: diarree, infectie van de lagere luchtwegen, middenoorontsteking (otitis media), longontsteking, urineweginfectie, necrotiserende enterocolitis (een ontsteking van de darmen waarbij delen afsterven), invasieve bacteriële infectie en wiegendood."
1365,necrotiserende enterocolitis,C0520459,210,238,"Kinderen die borstvoeding hebben gekregen hebben ook een lagere incidentie (zich voordoen) van: diarree, infectie van de lagere luchtwegen, middenoorontsteking (otitis media), longontsteking, urineweginfectie, necrotiserende enterocolitis (een ontsteking van de darmen waarbij delen afsterven), invasieve bacteriële infectie en wiegendood."
1366,wiegendood,C0038644,328,338,"Kinderen die borstvoeding hebben gekregen hebben ook een lagere incidentie (zich voordoen) van: diarree, infectie van de lagere luchtwegen, middenoorontsteking (otitis media), longontsteking, urineweginfectie, necrotiserende enterocolitis (een ontsteking van de darmen waarbij delen afsterven), invasieve bacteriële infectie en wiegendood."
1368,osteoporose,C0029458,26,37,Zij hebben minder kans op osteoporose (in de volksmond botontkalking genoemd).
1369,pijnbeleving,C0030193,62,74,De geur van moedermelk lijkt van invloed te kunnen zijn op de pijnbeleving.
1374,fenylketonurie,C0031485,95,109,"Bij kinderen met een hazenlip, choanale atresie (afwezig of misvormd deel van de neusholte) of fenylketonurie (PKU; intolerantie voor de meeste eiwitten, waardoor de stof fenylalanine zich in de urine ophoopt) is het meestal ook niet mogelijk."
1375,immunologische,C0152036,51,65,Het is niet bekend wat voor effect dit heeft op de immunologische werking van moedermelk.
1376,tepelkloven,C2909538,50,61,Door verkeerd zuigen van de baby kunnen pijnlijke tepelkloven ontstaan.
1379,Zaadcel,C0037868,0,7,"Zaadcellen kunnen normaal gesproken een dag of twee na ejaculatie nog een bevruchting uitvoeren, maar er worden ook gevallen beschreven waarin na 5 dagen nog een bevruchting plaatsvond."
1381,giftige stoffen,C0032346,23,38,Sommige soorten kunnen giftige stoffen afscheiden waarvan mensen ziek worden.
1382,waterstofperoxide,C0020281,57,74,Behandeling van het water met een verdunde oplossing van waterstofperoxide heeft zeer goede resultaten opgeleverd.
1383,botulisme,C0006057,87,96,"Voedsel dat besmet is met deze bacteriën kan, door de aanwezigheid van botulinetoxine, botulisme veroorzaken."
1386,NaCl-oplossing,C0037494,61,75,"Een flesje met 50 units Botox wordt gemengd met 1,25 ml 0,9% NaCl-oplossing, een 100 unit flesje met 2,50 ml."
1387,blefarospasme,C0005747,14,27,Patiënten met blefarospasme hebben last van spontane samentrekkingen van de ooglidspieren.
1388,scheelzien,C0038379,14,24,Patiënten die scheelzien kunnen ook behandeld worden met botulinetoxine.
1389,hyperhidrose,C0020458,34,46,Mensen die lijden aan hevige okselhyperhidrose zweten overmatig onder de oksel.
1391,zweetklieren,C0038984,218,230,"Een behandeling met botulinetoxine zorgt ervoor dat door middel van een serie kleine injecties het vrijkomen van de neurotransmitter acetylcholine uit de zenuwcellen wordt geblokkeerd, waardoor het signaal dat naar de zweetklieren gaat om meer zweet te produceren stopt."
1392,achalasie,C0014848,124,133,Botulinetoxine wordt daarnaast geïnjecteerd in de spieren van de slokdarmwand als behandelingsmethode tegen de effecten van achalasie.
1393,ptosis,C0005745,55,61,"Na een behandeling kunnen de cliënten last krijgen van ptosis, hoofdpijn, longontsteking en misselijkheid."
1396,antisera,C0020960,25,33,Tegen het toxine bestaan antisera die vrij effectief zijn.
1399,toxicologie,C0949446,32,43,"Het eerste basisprincipe van de toxicologie is dat vrijwel iedere stof, die in overmaat aanwezig is, schadelijk (en dus niet giftig!)"
1401,farmacologie,C0031330,21,33,De toxicologie en de farmacologie zijn dan ook nauw verwante wetenschappen.
1402,Halogenen,C0018544,0,9,Halogenen reageren vrijwel met iedere stof in het lichaam.
1403,kalium,C0032821,145,151,"De schadelijke werking van water is gebaseerd op de verstoring van de osmotische waarde van het bloed, waardoor de rode bloedcellen kapotgaan en kalium vrijkomt dat het hart ontregelt."
1404,Theobromine,C0039763,0,11,"Theobromine, dat in chocola zit, kan dodelijk zijn voor honden."
1405,overgegeven,C0042963,166,177,"Het 1% zwangerschappen dat ondanks pilgebruik voorkomt, wordt voornamelijk toegeschreven aan het vergeten van de pilinname of hieraan dat de vrouw na de inname heeft overgegeven."
1407,baarmoederkanker,C0007103,57,73,Dit type gebruik is niet onveilig en verhoogt de kans op baarmoederkanker niet.
1411,depressieve,C0154409,78,89,"Andere klachten kunnen zijn hoofdpijn, migraine, verandering in libido en een depressieve stemming."
1413,koper,C0009968,26,31,Deze spiraaltjes bevatten koper.
1414,atrofisch,C0333641,50,59,Hierdoor kan het baarmoederslijmvlies op den duur atrofisch worden en kan de menstruatie (grotendeels) wegblijven.
1417,giftig,C0032346,109,115,"Het zijn vaak werkzame stoffen die met name in het plantenrijk voorkomen, en wel in planten die dikwijls als giftig aangeduid worden."
1419,chromatografie,C0008550,121,135,Dit vermogen om zouten te vormen en complexen te vormen met metaalionen hielp bij de isolatie en detectie in de tijd dat chromatografie nog niet was uitgevonden.
1420,spectroscopie,C0037812,79,92,De kennis over alkaloïden kwam in een stroomversnelling door de ontdekking van spectroscopie en chromatografie aan het begin van de 20e eeuw.
1422,Morfine,C0026549,0,7,Morfine en codeïne zijn sterke pijnstillers.
1425,erfelijke,C0017398,214,223,"Vele bacteriën van de betreffende populatie zullen sterven of in groei geremd worden door het antibioticum, maar enkele overblijvende resistente bacteriën planten zich voort en zorgen voor de verspreiding van deze erfelijke eigenschap; na enige tijd zijn zo goed als alle bacteriën bestand tegen het antibioticum."
1427,melanoom,C0025202,91,99,"Dit kan niet alleen pijnlijk zijn, maar is bovendien schadelijk omdat het het optreden van melanoom, een soort huidkanker, kan bevorderen."
1430,stigmatisering,C0277787,125,139,Bruindouches en bruiningscrèmes resulteren echter niet altijd in een even 'natuurlijke' teint en leiden daardoor weleens tot stigmatisering.
1431,lieskanaal,C0225226,13,23,Ook een wijd lieskanaal predisponeert voor een breuk.
1432,kijkoperatie,C0282493,64,76,Sinds eind jaren 1990 kan een liesbreuk ook door middel van een kijkoperatie (laparoscopische procedure) worden behandeld.
1433,laparoscopische procedure,C0031150,78,103,Sinds eind jaren 1990 kan een liesbreuk ook door middel van een kijkoperatie (laparoscopische procedure) worden behandeld.
1434,beklemde breuk,C0401116,116,130,Een operatief herstel van een hernia inguinalis is alleen noodzakelijk als de patiënt klachten heeft (zoals bij een beklemde breuk).
1435,hing zichzelf op,C0038661,61,77,"Daarop smeet hij het geld op de tempelvloer, vluchtte weg en hing zichzelf op aan een boom (Matteüs 27:3-5)."
1436,cognitieve proces,C0025361,26,43,Waarneming is het actieve cognitieve proces dat de gewaarwording interpreteert.
